Level: State
Unit:Total (thousands), Real (2017$)
State,Year,(R01) Total Revenue,(R03) General Revenue,(R11) Alcoholic Beverage Tax (T10),(R26) Total Income Taxes,(E003) Direct Expenditure,(E010) Total Interest on Debt,(E012) Total Salaries & Wages (Z00),(E019) Police & Fire Protection-Dir Exp,(E030) Total High Ed-Dir Exp,(D05) Change In Debt During Yr
United States,2012,$     1988976574,$     1737747535,$        6374826,$      344101634,$     1605314643,$       51817361,$      253531166,$       13798663,$      233875059,$        9266050
United States,2016,$     2187434226,$     1958986077,$        6762899,$      396216031,$     1739653657,$       46891349,$      271446284,$       15320452,$      250322490,$       10972304
Alabama,2012,$       31657957,$       25118069,$         184967,$        3662686,$       25845284,$         363155,$        4532726,$         122810,$        4912088,$-         369955
Alabama,2016,$       31386951,$       26399309,$         222430,$        4185586,$       25441346,$         362652,$        4862371,$         168687,$        4985360,$-         477738
Florida,2012,$       80269670,$       76021616,$         562655,$        2138973,$       67500726,$        1492725,$        9040801,$         565428,$        7099256,$-        5659138
Florida,2016,$       88325491,$       83389861,$         404863,$        2320637,$       69914815,$        1128788,$        9321273,$         599497,$        8004174,$         101716
Georgia,2012,$       42076678,$       38429059,$         186889,$        9323608,$       37047316,$         734729,$        6228625,$         314491,$        6654221,$-         162844
Georgia,2016,$       46595527,$       42939821,$         194595,$       11663834,$       36382738,$         648725,$        6489918,$         360408,$        5843264,$-         121437
Hawaii,2012,$       11300050,$       10646578,$          52158,$        1730620,$       12224171,$         118096,$        2965799,$          28746,$        1608617,$         517989
Hawaii,2016,$       13712136,$       13203347,$          51668,$        2271684,$       12328910,$         123322,$        3301951,$          38434,$        1133888,$         468628
Idaho,2012,$        9178267,$        7892844,$           8647,$        1496727,$        7459044,$         179202,$        1197294,$          50468,$         971124,$          23014
Idaho,2016,$        9663560,$        8385689,$           9432,$        1746668,$        7063861,$         152411,$        1452485,$          61978,$         993429,$-         124871
Illinois,2012,$       74241525,$       67271819,$         298155,$       20292163,$       62666821,$        3570385,$        8325670,$         417192,$        6716375,$-         531592
Illinois,2016,$       75687749,$       68901252,$         293998,$       15713250,$       61011755,$        3307926,$        8375006,$         372585,$        6632997,$        1605666
Indiana,2012,$       36429110,$       34355605,$          47141,$        5935961,$       28334826,$        1048051,$        4403288,$         218836,$        6427261,$         399033
Indiana,2016,$       40830070,$       38350359,$          49339,$        6385734,$       30130892,$        1027574,$        4520226,$         221332,$        6571623,$-          92952
Iowa,2012,$       23693240,$       20786812,$          15723,$        3689158,$       16139405,$         270968,$        3247276,$          97582,$        2792960,$-        1502927
Iowa,2016,$       25636919,$       22939586,$          22901,$        4013917,$       17954388,$         210853,$        3498640,$          99523,$        3029969,$-         272263
Kansas,2012,$       14717597,$       13569359,$         126195,$        3426347,$       13097618,$         211963,$        2623256,$          97169,$        2501587,$-          35163
Kansas,2016,$       18204854,$       17031055,$         136557,$        2679675,$       14004560,$         172685,$        2910358,$         100104,$        2711871,$         980728
Kentucky,2012,$       26656449,$       24349561,$         126250,$        4363633,$       26346265,$         786546,$        4101046,$         209155,$        4002313,$         375851
Kentucky,2016,$       30537739,$       28782270,$         142214,$        4993071,$       31006094,$         667763,$        4416005,$         228291,$        4468963,$-         552764
Louisiana,2012,$       28759798,$       27093376,$          60715,$        2951974,$       25743393,$         958752,$        4159560,$         235412,$        3308918,$-         868546
